UserINode,UserJNode,INode,JNode,I_Z,J_Z,Max Drift X,Max Drift Y,Series,LoadCase
3,4,4,21,-5,0,0.0223223,0.0162686,Level5,gm1RSN6_IMPVALL.I_I-ELC180
3,4,4,21,-5,0,0.015159,0.0133116,Level5,gm2RSN4458_MONTENE.GRO_ULO000
3,4,4,21,-5,0,0.015499,0.0213015,Level5,gm3RSN165_IMPVALL.H_H-CHI012
3,4,4,21,-5,0,0.0251739,0.0185349,Level5,gm4RSN723_SUPER.B_B-PTS225
3,4,4,21,-5,0,0.0312639,0.0216614,Level5,gm5RSN779_LOMAP_LGP000
3,4,4,21,-5,0,0.0226775,0.0401723,Level5,gm6RSN828_CAPEMEND_PET000
3,4,4,21,-5,0,0.0371762,0.0314415,Level5,gm7RSN1086_NORTHR_SYL090
3,4,4,21,-5,0,0.0234034,0.014587,Level5,gm8RSN949_NORTHR_ARL090
3,4,4,21,-5,0,0.0513713,0.0400895,Level5,gm9RSN1120_KOBE_TAK000
3,4,4,21,-5,0,0.0337133,0.0377283,Level6,gm10RSN1119_KOBE_TAZ000
3,4,4,21,-5,0,0.0151934,0.0185565,Level6,gm11RSN1528_CHICHI_TCU101-E
3,4,4,21,-5,0,0.0228603,0.0198098,Level6,gm1RSN6_IMPVALL.I_I-ELC180
3,4,4,21,-5,0,0.0184862,0.0162268,Level6,gm2RSN4458_MONTENE.GRO_ULO000
3,4,4,21,-5,0,0.0185814,0.0251106,Level6,gm3RSN165_IMPVALL.H_H-CHI012
3,4,4,21,-5,0,0.0310241,0.0225738,Level6,gm4RSN723_SUPER.B_B-PTS225
3,4,4,21,-5,0,0.0355204,0.026542,Level6,gm5RSN779_LOMAP_LGP000
3,4,4,21,-5,0,0.0272417,0.0444866,Level6,gm6RSN828_CAPEMEND_PET000
3,4,4,21,-5,0,0.0436946,0.0363714,Level6,gm7RSN1086_NORTHR_SYL090
3,4,4,21,-5,0,0.0253125,0.0178175,Level6,gm8RSN949_NORTHR_ARL090
3,4,4,21,-5,0,0.166644,0.0621249,Level6,gm9RSN1120_KOBE_TAK000
3,4,4,21,-5,0,0.038745,0.0415056,Level7,gm10RSN1119_KOBE_TAZ000
3,4,4,21,-5,0,0.0181331,0.0227246,Level7,gm11RSN1528_CHICHI_TCU101-E
3,4,4,21,-5,0,0.0240529,0.0234972,Level7,gm1RSN6_IMPVALL.I_I-ELC180
3,4,4,21,-5,0,0.0218613,0.0191279,Level7,gm2RSN4458_MONTENE.GRO_ULO000
3,4,4,21,-5,0,0.0209847,0.0264572,Level7,gm3RSN165_IMPVALL.H_H-CHI012
3,4,4,21,-5,0,0.0367347,0.0258911,Level7,gm4RSN723_SUPER.B_B-PTS225
3,4,4,21,-5,0,0.036171,0.0298334,Level7,gm5RSN779_LOMAP_LGP000
3,4,4,21,-5,0,0.0308928,0.0437264,Level7,gm6RSN828_CAPEMEND_PET000
3,4,4,21,-5,0,0.0501019,0.0448775,Level7,gm7RSN1086_NORTHR_SYL090
3,4,4,21,-5,0,0.0300478,0.0210129,Level7,gm8RSN949_NORTHR_ARL090
3,4,4,21,-5,0,0.172165,0.228751,Level7,gm9RSN1120_KOBE_TAK000
3,4,4,21,-5,0,0.0417565,0.0442798,Level8,gm10RSN1119_KOBE_TAZ000
3,4,4,21,-5,0,0.0210898,0.0277591,Level8,gm11RSN1528_CHICHI_TCU101-E
3,4,4,21,-5,0,0.0256321,0.0270437,Level8,gm1RSN6_IMPVALL.I_I-ELC180
3,4,4,21,-5,0,0.0247713,0.0212792,Level8,gm2RSN4458_MONTENE.GRO_ULO000
3,4,4,21,-5,0,0.0218445,0.0273482,Level8,gm3RSN165_IMPVALL.H_H-CHI012
3,4,4,21,-5,0,0.0406782,0.0282893,Level8,gm4RSN723_SUPER.B_B-PTS225
3,4,4,21,-5,0,0.036184,0.0332545,Level8,gm5RSN779_LOMAP_LGP000
3,4,4,21,-5,0,0.0315962,0.0416396,Level8,gm6RSN828_CAPEMEND_PET000
3,4,4,21,-5,0,0.0553582,0.0543076,Level8,gm7RSN1086_NORTHR_SYL090
3,4,4,21,-5,0,0.0350609,0.0240214,Level8,gm8RSN949_NORTHR_ARL090
3,4,4,21,-5,0,0.248571,0.255255,Level8,gm9RSN1120_KOBE_TAK000
5,6,22,92,-5,0,0.0050654,0.00412497,Level1,gm10RSN1119_KOBE_TAZ000
